"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"105","YBR286W","APE3","NC","NC.1_1",16.97351328
"106","YCL009C","ILV6","NC","NC.1_1",16.55206994
"107","YCL011C","GBP2","NC","NC.1_1",16.569857
"108","YCL017C","NFS1","NC","NC.1_1",15.30590296
"109","YCL028W","RNQ1","NC","NC.1_1",15.81445612
"110","YCL030C","HIS4","NC","NC.1_1",15.55924731
"111","YCL037C","SRO9","NC","NC.1_1",16.1870625
"112","YCL040W","GLK1","NC","NC.1_1",16.87548755
"113","YCL043C","PDI1","NC","NC.1_1",17.57603495
"114","YCL045C","EMC1","NC","NC.1_1",15.24761827
"115","YCL050C","APA1","NC","NC.1_1",16.88029742
"116","YCL057C-A","MIC10","NC","NC.1_1",15.28933802
"117","YCL057W","PRD1","NC","NC.1_1",15.32631729
"118","YCL064C","CHA1","NC","NC.1_1",15.7664087
"119","YCR002C","CDC10","NC","NC.1_1",16.05998653
"120","YCR004C","YCP4","NC","NC.1_1",16.69907454
"121","YCR005C","CIT2","NC","NC.1_1",14.22806761
"122","YCR009C","RVS161","NC","NC.1_1",15.69122936
"123","YCR012W","PGK1","NC","NC.1_1",21.92585656
"124","YCR028C-A","RIM1","NC","NC.1_1",17.7596306
"125","YCR030C","SYP1","NC","NC.1_1",14.74087939
"126","YCR051W","YCR051W","NC","NC.1_1",14.56894894
"127","YCR052W","RSC6","NC","NC.1_1",15.58379719
"128","YCR053W","THR4","NC","NC.1_1",17.68350713
"129","YCR057C","PWP2","NC","NC.1_1",14.77546978
"130","YCR077C","PAT1","NC","NC.1_1",15.18690894
"131","YCR084C","TUP1","NC","NC.1_1",15.80501987
"132","YCR087C-A","YCR087C-A","NC","NC.1_1",15.96891635
"133","YCR088W","ABP1","NC","NC.1_1",16.40288917
"134","YCR090C","YCR090C","NC","NC.1_1",15.26193393
"135","YCR093W","CDC39","NC","NC.1_1",14.67743276
"136","YDL007W","RPT2","NC","NC.1_1",16.42310193
"137","YDL014W","NOP1","NC","NC.1_1",18.20600006
"138","YDL022W","GPD1","NC","NC.1_1",17.38260081
"139","YDL029W","ARP2","NC","NC.1_1",17.37387701
"140","YDL031W","DBP10","NC","NC.1_1",14.35107524
"141","YDL040C","NAT1","NC","NC.1_1",15.24706734
"142","YDL051W","LHP1","NC","NC.1_1",15.44771531
"143","YDL052C","SLC1","NC","NC.1_1",16.12451261
