"","systematic_name","gene","C3","C8","CS23","HS42","NC","UT","C3_C8","C3_CS23","C3_HS42","C3_NC","C3_UT","C8_CS23","C8_HS42","C8_NC","C8_UT","CS23_HS42","CS23_NC","CS23_UT","HS42_NC","HS42_UT","NC_UT"
"1","YAL003W","EFB1",18.99171687,19.306009875,19.3181425275,19.85948144,19.5386855525,19.993696785,0.314293005,0.3264256575,0.867764570000002,0.546968682499998,1.001979915,0.0121326525000001,0.553471565000002,0.232675677499998,0.68768691,0.541338912500002,0.220543024999998,0.6755542575,-0.320795887500005,0.134215344999998,0.455011232500002
"2","YAL005C","SSA1",17.0901410966667,17.90258729,17.33148849,17.7036620225,17.6437364525,18.1288471758333,0.812446193333333,0.241347393333331,0.613520925833331,0.553595355833334,1.03870607916667,-0.571098800000001,-0.198925267500002,-0.258850837499999,0.226259885833333,0.3721735325,0.312247962500003,0.797358685833334,-0.0599255699999972,0.425185153333334,0.485110723333332
"3","YAL007C","ERP2",14.74423871,15.1142944775,14.9900086225,15.357958465,14.970071315,15.6779679941667,0.3700557675,0.2457699125,0.613719755,0.225832605000001,0.933729284166667,-0.124285855,0.2436639875,-0.144223162499999,0.563673516666666,0.3679498425,-0.0199373074999993,0.687959371666667,-0.387887149999999,0.320009529166667,0.707896679166666
"4","YAL012W","CYS3",18.7907243,18.7966486125,18.979785675,18.9675587675,18.96469671,19.4378799691667,0.00592431249999947,0.189061374999998,0.176834467500001,0.173972409999998,0.647155669166665,0.183137062499998,0.170910155000001,0.168048097499998,0.641231356666665,-0.012226907499997,-0.0150889650000003,0.458094294166667,-0.00286205750000335,0.470321201666664,0.473183259166667
"5","YAL016W","TPD3",15.3677221333333,15.677991385,15.330206805,16.6152602175,15.7007538975,15.765541545,0.310269251666666,-0.0375153283333347,1.24753808416667,0.333031764166666,0.397819411666665,-0.347784580000001,0.937268832500001,0.0227625124999999,0.0875501599999993,1.2850534125,0.370547092500001,0.43533474,-0.914506320000001,-0.849718672500002,0.0647876474999993
"6","YAL021C","CCR4",14.9372292833333,14.92582122,14.6562095425,15.5599410675,14.8758922,15.284776965,-0.0114080633333344,-0.281019740833333,0.622711784166667,-0.0613370833333349,0.347547681666667,-0.269611677499999,0.634119847500001,-0.0499290200000004,0.358955745000001,0.903731525,0.219682657499998,0.6285674225,-0.684048867500001,-0.2751641025,0.408884765000002
"7","YAL023C","PMT2",15.4653273033333,15.661969575,15.6165917475,16.04832502,15.506957985,15.7032552525,0.196642271666667,0.151264444166666,0.582997716666666,0.0416306816666658,0.237927949166666,-0.0453778275000012,0.386355445,-0.155011590000001,0.0412856774999995,0.431733272500001,-0.1096337625,0.0866635050000006,-0.541367035,-0.3450697675,0.1962972675
"8","YAL035W","FUN12",15.6451336566667,16.0658083875,15.8964286025,16.60284988,15.8746579125,16.34756754,0.420674730833332,0.251294945833333,0.957716223333334,0.229524255833333,0.702433883333333,-0.169379784999999,0.537041492500002,-0.191150474999999,0.281759152500001,0.7064212775,-0.0217706900000003,0.4511389375,-0.728191967500001,-0.255282340000001,0.4729096275
"9","YAL036C","RBG1",15.6476190966667,15.5365206525,15.79870634,16.2728026475,15.9057018025,16.5895419958333,-0.111098444166668,0.151087243333333,0.625183550833334,0.258082705833333,0.941922899166666,0.262185687500001,0.736281995000002,0.369181150000001,1.05302134333333,0.474096307500002,0.1069954625,0.790835655833334,-0.367100845000001,0.316739348333332,0.683840193333333
"10","YAL038W","CDC19",20.7994608366667,21.304576055,21.0085319325,21.5830206725,21.28100658,21.382801245,0.50511521833333,0.20907109583333,0.783559835833334,0.481545743333331,0.583340408333331,-0.2960441225,0.278444617500003,-0.0235694749999986,0.0782251900000013,0.574488740000003,0.272474647500001,0.374269312500001,-0.302014092500002,-0.200219427500002,0.101794665
"11","YAL042W","ERV46",14.79877316,15.1602492125,14.791579495,15.5735999025,14.983047755,15.2648833633333,0.3614760525,-0.00719366499999907,0.7748267425,0.184274595,0.466110203333335,-0.3686697175,0.41335069,-0.177201457500001,0.104634150833334,0.782020407499999,0.191468259999999,0.473303868333334,-0.5905521475,-0.308716539166666,0.281835608333335
"12","YAL044C","GCV3",16.0442975433333,16.14556838,15.8364552475,17.4380256925,16.0340078925,17.8773821,0.101270836666668,-0.207842295833332,1.39372814916667,-0.0102896508333323,1.83308455666667,-0.3091131325,1.2924573125,-0.1115604875,1.73181372,1.601570445,0.197552645,2.0409268525,-1.4040178,0.439356407500004,1.8433742075
"13","YAL060W","BDH1",15.3570371533333,15.54184484,14.7757773075,15.539553285,14.9860787025,15.9253290458333,0.184807686666666,-0.581259845833333,0.182516131666667,-0.370958450833335,0.5682918925,-0.766067532499999,-0.00229155499999933,-0.555766137500001,0.383484205833334,0.7637759775,0.210301394999998,1.14955173833333,-0.553474582500002,0.385775760833333,0.939250343333335
"14","YAR002C-A","ERP1",16.56767238,16.535445785,16.1296784725,17.1722684775,16.81339497,16.86928688,-0.0322265950000009,-0.437993907500001,0.6045960975,0.24572259,0.301614499999999,-0.4057673125,0.636822692500001,0.277949185000001,0.333841095,1.042590005,0.683716497500001,0.7396084075,-0.3588735075,-0.302981597500001,0.0558919099999997
"15","YAR002W","NUP60",14.5243162266667,14.34422619,14.46573181,15.298429305,14.788715465,14.9049072675,-0.180090036666666,-0.0585844166666671,0.774113078333333,0.264399238333333,0.380591040833334,0.121505619999999,0.954203114999999,0.444489274999999,0.5606810775,0.832697495,0.322983655,0.439175457500001,-0.50971384,-0.393522037499999,0.116191802500001
