systematic_name,gene,treatment_id,fc_log2,p_value,adj_p_value,regulated
YEL051W,VMA8,AF2,-0.104759167,0.450193105,0.706177757,FALSE
YEL055C,POL5,AF2,0.183241667,0.422594413,0.686797351,FALSE
YEL058W,PCM1,AF2,0.507919167,0.004092498,0.046323065,FALSE
YEL060C,PRB1,AF2,-0.020374167,0.920037031,0.971329679,FALSE
YEL071W,DLD3,AF2,0.022853333,0.873519826,0.951646651,FALSE
YER003C,PMI40,AF2,-0.293873333,0.172435238,0.434978143,FALSE
YER004W,FMP52,AF2,0.081726667,0.795317663,0.915055808,FALSE
YER006W,NUG1,AF2,0.046868333,0.774617746,0.904521344,FALSE
YER007C-A,TMA20,AF2,0.0461525,0.829622787,0.931649802,FALSE
YER009W,NTF2,AF2,-0.35511,0.417272434,0.682887156,FALSE
YER012W,PRE1,AF2,0.012271667,0.942504896,0.979664695,FALSE
YER021W,RPN3,AF2,0.371649167,0.017435676,0.116894891,FALSE
YER023W,PRO3,AF2,-0.236419167,0.214974173,0.489375601,FALSE
YER025W,GCD11,AF2,0.103371667,0.536291152,0.768490872,FALSE
YER031C,YPT31,AF2,0.225261667,0.210562807,0.484280414,FALSE
YER036C,ARB1,AF2,-0.129375,0.326376797,0.605069525,FALSE
YER043C,SAH1,AF2,0.072839167,0.560998335,0.783974193,FALSE
YER048C,CAJ1,AF2,0.045376667,0.796151928,0.915471758,FALSE
YER048W-A,ISD11,AF2,0.514006667,6.25E-04,0.012817558,FALSE
YER049W,TPA1,AF2,0.0508825,0.717681419,0.8766699,FALSE
YER052C,HOM3,AF2,0.090788333,0.577320693,0.793826709,FALSE
YER055C,HIS1,AF2,-0.148913333,0.329628379,0.60816436,FALSE
YER056C-A;YIL052C,NA,AF2,-0.530616667,0.251119832,0.530413382,FALSE
YER057C,HMF1,AF2,-0.59225,0.016301577,0.112193822,FALSE
YER062C,GPP2,AF2,0.023506667,0.912368251,0.968156558,FALSE
YER063W,THO1,AF2,-0.06156,0.720357058,0.877903938,FALSE
YER068W,MOT2,AF2,-0.156891667,0.189322485,0.458398929,FALSE
YER069W,ARG5,AF2,-0.258483333,0.108589044,0.339053624,FALSE
YER070W,RNR1,AF2,-1.071675,1.17E-12,6.54E-10,TRUE
YER073W,ALD5,AF2,-0.197568333,0.150799054,0.404190099,FALSE
YER074W;YIL069C,NA,AF2,-0.449101667,0.052229553,0.223971006,FALSE
YER080W,AIM9,AF2,0.398049167,0.002759248,0.035463694,FALSE
YER081W,SER3,AF2,0.699286667,9.78E-04,0.017741664,FALSE
YER082C,UTP7,AF2,-0.083119167,0.693333909,0.862809297,FALSE
YER086W,ILV1,AF2,0.208635,0.314558131,0.593268408,FALSE
YER089C,PTC2,AF2,0.08733,0.462941192,0.716338743,FALSE
YER090W,TRP2,AF2,0.158239167,0.325466503,0.604356897,FALSE
YER091C,MET6,AF2,0.097116667,0.415512386,0.681608812,FALSE
YER094C,PUP3,AF2,0.208795833,0.375907385,0.649563496,FALSE
YER103W,SSA4,AF2,-0.40632,0.05968145,0.24208481,FALSE
YER110C,KAP123,AF2,0.031268333,0.837690825,0.935397389,FALSE
YER112W,LSM4,AF2,-0.075046667,0.60642607,0.812025044,FALSE
YER120W,SCS2,AF2,0.059379167,0.71842752,0.876997215,FALSE
YER122C,GLO3,AF2,-0.151114167,0.278222836,0.55857024,FALSE
YER125W,RSP5,AF2,0.0735725,0.585689067,0.798637397,FALSE
YER127W,LCP5,AF2,-0.11974,0.717971932,0.87679257,FALSE
YER133W,GLC7,AF2,0.460736667,0.005359929,0.055634709,FALSE
YER136W,GDI1,AF2,0.2647325,0.174386496,0.437656376,FALSE
YER151C,UBP3,AF2,0.233471667,0.099325363,0.32345829,FALSE
YER155C,BEM2,AF2,0.455891667,0.012032158,0.092690154,FALSE
YER156C,YER156C,AF2,-0.106745,0.395902866,0.665331696,FALSE
YER159C,BUR6,AF2,-0.483576667,0.164802222,0.424516718,FALSE
YER164W,CHD1,AF2,0.2593325,0.216883608,0.491705895,FALSE
YER165W,PAB1,AF2,-0.1477675,0.185421286,0.452965605,FALSE
YER177W,BMH1,AF2,-0.260720833,0.081007251,0.288466755,FALSE
YER178W,PDA1,AF2,-0.0820375,0.62169423,0.821710619,FALSE
YFL004W,VTC2,AF2,0.292665,0.112723878,0.345953923,FALSE
YFL005W,SEC4,AF2,0.035236667,0.864614102,0.948165035,FALSE
YFL010C,WWM1,AF2,-0.3633975,0.240361451,0.518624123,FALSE
